id,część,atrybuty,relacja,motor
0,Maska,marka model kolor,przod,False
1,Zderzak,marka model kolor,przod tyl,False
2,Kratka,marka model kolor,przod,False
3,Spojler,marka model kolor,tyl,False
4,Felga,rozmiar kolor,przod tyl kola,True
5,Opona zimowa,rozmiar,przod tyl kola,True
6,Opona letnia,rozmiar,przod tyl kola,True
7,Zewnętrzna klamka drzwi,marka model,drzwi,False
8,Wewnętrzna klamka drzwi,marka model,drzwi,False
9,Drzwi prawe przednie,marka model kolor,drzwi,False
10,Drzwi lewe przednie,marka model kolor,drzwi,False
11,Drzwi prawe tylne,marka model kolor,drzwi,False
12,Drzwi lewe tylne,marka model kolor,drzwi,False
13,Lakier, kolor,lakier,True
14,Regulator okna,marka model,drzwi,False
15,Radio,marka model,wyposazenie,False
16,Głośnik,marka model,wyposazenie,False
17,Alternator,marka model,elektryka,True
18,Akumulator,marka model,elektryka,True
19,Dystrybutor,marka model,srodek,True
20,Światło mgłowe,marka model,swiatla,True
21,Reflektor,marka model,swiatla,True
22,Światło wewnętrzne,marka model,swiatla,False
23,Podświetlenie tablicy,,swiatla,True
24,Oświetlenie boczne,marka model,swiatla,True
25,Światła tylne,marka model,swiatla,True
26,Poduszka powietrzna,,wyposazenie,False
27,Rozrusznik,marka model,srodek,True
28,Bezpiecznik,,srodek,True
29,Deska rozdzielcza,marka model,wyposazenie,True
30,Dywan,marka model,wyposazenie,False
31,Zagłówek,marka model,fotele,False
32,Pasy bezpieczeństwa,,fotele,False
33,Fotel tylny,marka model material,fotele,False
34,Fotel przedni,marka model material,fotele,True
35,Przewód hamulcowy,,hamulce,True
36,Klocek hamulcowy,marka model,hamulce,True
37,Pedał hamulca,marka model,hamulce,False
38,Hamulec ręczny,marka model,hamulce,False
39,Silnik,marka model pojemnosc,srodek,True
40,Rozrząd,,srodek,True
41,Wał korbowy,marka model,srodek,True
42,Chłodnica,marka model,srodek,False
43,Miska olejowa,marka model,srodek,False
44,Kolektor wydechowy,,wydech,True
45,Rura wydechowa,,wydech,True
46,Tłumik,,wydech,True
47,Zawór EGR,,wydech,True
48,Ogniwo paliwowe,marka model,paliwo,True
49,Filtr paliwa,marka model,paliwo,True
50,Wtrysk paliwa,marka model,paliwo,True
51,Pompa paliwowa,marka model,paliwo,True
52,Zbiornik paliwa,marka model,paliwo,True
53,Zespół układu LPG,,paliwo,False
54,Amortyzator,,kola,True
55,Wał sterujący,,kierownica,True
56,Kierownica,marka model,kierownica,True
57,Drążek kierowniczy,,kierownica,True
58,Sprzęgło,marka model,srodek,False
59,Skrzynia biegów,marka model skrzynia,srodek,True
60,Dźwignia zmiany biegów,marka model,srodek,False
61,Lusterko zewnętrzne lewe,marka model kolor,lusterko,True
62,Lusterko zewnętrzne prawe,marka model kolor,lusterko,True
63,Lusterko wewnętrzne,marka model,lusterko,False

