,marka,model
0,Royal,Enfield Classic 350
1,Honda,Dio
2,Royal,Enfield Classic Gunmetal Grey
3,Yamaha,Fazer FI V 2.0
4,Yamaha,SZ
5,Honda,CB Twister
6,Honda,CB Hornet 160R
7,Royal,Enfield Bullet 350
8,Hero,Honda CBZ extreme
9,Bajaj,Discover 125
10,Yamaha,FZ16
11,Honda,Navi
12,Bajaj,Avenger Street 220
13,Yamaha,YZF R3
14,Jawa,42
15,Suzuki,Access 125
16,Hero,Honda Glamour
17,Yamaha,YZF R15 S
18,Royal,Enfield Classic Gunmetal Grey
19,Yamaha,FZ25
20,Hero,Passion Pro 110
21,Honda,Navi
22,Honda,Activa i
23,Jawa,Standard
24,Royal,Enfield Thunderbird 350
25,Honda,Dream Yuga
26,TVS,Apache RTR 160 4V
27,Honda,Navi
28,Yamaha,Fazer
29,Hero,Honda Splendor NXG
30,Hero,Glamour 125
31,Yamaha,FZ S
32,Hero,Xtreme Sports
33,Honda,X-Blade
34,Honda,CB Shine SP
35,Honda,Activa 5G
36,Hero,Glamour 125
37,Honda,CBR-250R
38,Hero,Honda Passion PRO
39,Royal,Enfield Thunderbird 350
40,Bajaj,Dominar 400
41,Hero,Glamour FI
42,KTM,390 Duke
43,Hero,Passion XPro
44,Yamaha,FZ S V 2.0
45,Hero,Achiever 150
46,Bajaj,Discover 125
47,Yamaha,FZ16
48,Yamaha,Saluto
49,Yamaha,FZ16
50,Bajaj,Discover 100
51,Honda,CB Trigger
52,Royal,Enfield Electra 5 S
53,Hero,Splendor PRO
54,Honda,Activa 5G
55,Hero,Honda Passion Plus
56,Bajaj,Pulsar 150
57,Royal,Enfield Bullet 350
58,Bajaj,Discover 125
59,Bajaj,Pulsar 150
60,Hero,Splendor PRO
61,Hero,Xtreme Sports
62,Honda,Activa 3G
63,Yamaha,FZ16
64,Honda,CB Hornet 160R
65,Royal,Enfield Thunderbird 350
66,Hero,Hunk
67,Suzuki,Let''s
68,Royal,Enfield Electra 4 S
69,TVS,Scooty Pep Plus
70,Mahindra,Mojo XT300
71,TVS,Apache RTR 160
72,Bajaj,Pulsar AS200
73,Bajaj,Pulsar 150
