BI – Białystok (GPS 53°08’N , 23°08’E)
BIA – Białystok (powiat)
BAU – Augustów
BBI – Bielsk Podlaski
BGR – Grajewo
BHA – Hajnówka
BKL - Kolno
BL - Łomża
BLM – Łomża (powiat)
BMN – Mońki
BS – Suwałki
BSE – Sejny
BSI – Siemiatycze
BSK – Sokółka
BSU – Suwałki
BWM – Wysokie Mazowieckie
BZA – Zambrów
CB – Bydgoszcz (GPS 18°00’E 53°07’N)
CBY – Bydgoszcz (powiat)
CAL- Aleksandrów Kujawski
CBR – Brodnica
CCH – Chełmno
CG – Grudziądz
CGD – Golub Dobrzyń
CIN – Inowrocław
CLI – Lipno
CMG – Mogilno
CNA – Nakło nad Notecią
CRA – Radziejów
CRY – Rypin
CSW – Świecie
CSE – Sępólno Krajeńskie
CT – Toruń
CTR – Toruń (powiat)
CTU – Tuchola
CWA – Wąbrzeźno
CW – Włocławek
CWL – Włocławek (powiat)
CZN – Żnin
DW – Wrocław (GPS 17°02’E 51°07’N)
DWR – Wrocław (powiat)
DB – Wałbrzych
DBA – Wałbrzych (powiat)
DBL – Bolesławiec
DDZ – Dzierżoniów
DGL – Głogów
DGR – Góra
DJ – Jelenia Góra
DJA – Jawor
DJE – Jelenia Góra (powiat)
DKA – Kamienna Góra
DKL – Kłodzko
DL – Legnica
DLE – Legnica (powiat)
DLB – Lubań
DLU – Lubin
DLW – Lwówek Śląski
DMI – Milicz
DOA – Oława
DOL- Oleśnica
DPL – Polkowice
DSR – Środa Śląska
DST – Strzelin
DSW – Świdnica
DTR – Trzebnica
DWL – Wołów
DZA – Ząbkowice Śląskie
DZG – Zgorzelec
DZL – Złotoryja
EL – Łódź (GPS 51°46’N , 19°27’E)
EBE – Bełchatów
EBR – Brzeziny
EKU – Kutno
ELA – Łask
ELC – Łowicz
ELE – Łęczyca
ELW – Łódź Wschód
EOP – Opoczno
EP – Piotrków Trybunalski
EPA – Pabianice
EPD – Poddębice
EPI – Piotrków Trybunalski (powiat)
EPJ – Pajęczno
ERA – Radomsko
ERW – Rawa Mazowiecka
ES – Skierniewice
ESI – Sieradz
ESK – Skierniewice
ETM – Tomaszów Mazowiecki
EWE – Wieruszów
EWI – Wieluń
EZD – Zduńska Wola
EZG – Zgierz
FG – Gorzów Wielkopolski (GPS 52°43’N , 15°14’E)
FGW – Gorzów Wielkopolski (powiat)
FKR – Krosno Odrzańskie
FMI – Międzyrzecz
FNW – Nowa Sól
FSD – Strzelce Krajeńskie
FSL – Słubice
FSU – Sulęcin
FSW – Świebodzin
FWS – Wschowa
FZ – Zielona Góra
FZA – Żary
FZG – Żagań
FZI – Zielona Góra (powiat)
GD – Gdańsk (GPS 54°20’N , 18°38’E)
GDA – Gdańsk (powiat )
GA – Gdynia
GBY – Bytów
GCH – Chojnice
GCZ – Człuchów
GKA – Kartuzy
GKS – Kościerzyna
GKW – Kwidzyn
GLE – Lębork
GMB – Malbork
GND – Nowy Dwór Gdański
