id,id_samochodu,id_klienta,id_pracownika,data_zaksięgowania,cena
1,29,56,8,2014-03-21,500
2,32,61,4,2014-04-01,650
3,40,75,7,2014-04-22,360
4,45,85,7,2014-04-30,710
5,50,93,6,2014-05-08,630
6,51,94,6,2014-05-11,280
7,61,112,7,2014-06-13,150
8,65,118,7,2014-06-21,40
9,78,142,7,2014-07-22,600
10,87,157,4,2014-08-09,340
11,92,167,8,2014-08-17,910
12,94,171,4,2014-08-21,580
13,97,174,8,2014-08-24,540
14,106,193,7,2014-09-20,630
15,109,198,6,2014-09-24,980
16,112,202,4,2014-09-26,650
17,147,266,8,2014-12-13,1800
18,158,287,4,2015-01-04,160
19,159,288,6,2015-01-04,260
20,167,301,4,2015-01-27,3260
21,170,307,4,2015-02-05,5870
22,177,320,8,2015-02-19,4930
23,178,321,4,2015-02-20,90
24,187,338,6,2015-03-13,10
25,189,83,4,2015-03-19,470
26,193,346,4,2015-03-27,190
27,196,352,4,2015-04-08,150
28,202,364,7,2015-04-23,80
29,204,367,4,2015-04-24,580
30,211,379,6,2015-05-14,470
31,214,385,7,2015-05-23,90
32,217,389,7,2015-05-27,110
33,231,411,4,2015-07-04,130
34,63,116,8,2015-08-06,1140
35,254,451,7,2015-09-01,190
36,256,453,4,2015-09-02,70
37,267,131,6,2015-10-01,2310
38,271,480,6,2015-10-16,350
39,286,505,8,2015-11-22,1990
40,278,507,7,2016-01-21,280
41,308,545,8,2016-01-26,350
42,316,559,8,2016-02-12,50
43,318,561,8,2016-02-14,290
44,319,562,8,2016-02-19,700
45,329,580,6,2016-03-19,90
46,366,643,6,2016-06-05,130
47,370,649,4,2016-06-15,20
48,399,697,6,2016-09-03,380
49,404,709,7,2016-09-18,1280
50,416,730,6,2016-10-18,870
51,420,737,7,2016-10-28,710
52,443,777,8,2016-12-29,450
53,453,791,7,2017-01-19,3270
54,461,803,8,2017-02-18,6480
55,470,816,6,2017-03-12,530
56,474,821,8,2017-03-22,840
57,485,838,7,2017-04-13,280
58,490,843,7,2017-04-18,210
59,491,845,6,2017-04-20,800
60,494,850,4,2017-05-04,1510
61,501,858,4,2017-05-19,3370
62,504,864,7,2017-05-30,70
63,508,330,7,2017-06-01,640
64,516,878,6,2017-06-29,710
65,529,899,7,2017-08-02,1190
66,535,906,4,2017-08-10,340
67,544,920,8,2017-09-05,50
68,545,922,4,2017-09-08,150
69,547,926,7,2017-09-16,820
70,553,935,7,2017-09-30,20
71,554,936,8,2017-09-30,440
72,73,133,6,2017-10-06,1940
73,570,960,4,2017-12-10,530
74,587,985,4,2018-01-25,610
75,589,988,7,2018-01-26,260
76,596,999,6,2018-02-04,620
77,601,181,7,2018-03-01,330
78,605,1017,4,2018-03-09,100
79,549,318,8,2018-03-14,30
80,617,1033,8,2018-03-30,190
81,261,467,4,2018-04-07,1230
82,625,277,6,2018-04-19,650
83,310,196,7,2018-05-08,30
84,655,1095,8,2018-07-07,870
85,679,1132,6,2018-09-05,410
86,680,1133,4,2018-09-06,740
87,694,1155,6,2018-10-13,360
88,708,832,8,2018-12-01,310
89,715,1187,6,2018-12-15,540
90,538,911,4,2018-12-19,90
91,736,1220,8,2019-02-03,190
92,739,464,4,2019-02-13,830
93,741,1224,8,2019-02-23,60
94,742,1226,8,2019-02-23,2890
95,745,1049,6,2019-03-12,70
96,746,1231,4,2019-03-12,780
97,749,1236,7,2019-03-21,60
98,780,368,6,2019-07-07,500
99,781,1272,6,2019-07-11,970
100,787,613,6,2019-07-24,260
101,792,1288,8,2019-08-16,610
102,88,163,4,2019-08-25,60
103,800,871,8,2019-08-31,130
104,810,1309,6,2019-09-19,50
105,811,1310,7,2019-09-20,650
106,827,1030,4,2019-10-27,200
107,835,1070,6,2019-11-17,1090
108,841,1350,4,2019-12-06,3520
109,852,276,8,2019-12-26,260
110,860,347,6,2020-01-05,790
111,863,1373,8,2020-01-10,650
112,885,1269,7,2020-03-22,610
113,897,1416,6,2020-05-14,260
114,901,1423,6,2020-05-29,390
115,908,1429,6,2020-06-07,950
116,528,101,6,2020-09-06,140
117,955,1482,4,2020-10-11,260
118,970,1499,8,2020-11-26,70
119,547,926,6,2020-11-28,780
120,978,106,4,2020-12-24,1420
